"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
6437;138534;462;0;0.11;0;0.14;0.03;-0.18;2450;13776;0;614;7.8;0.07;69648;2666500;1207499;666;207;47.02;8.31;666500;207500;"666500_207500"
6230;14399;729;0.2;0.28;0;0.39;0;-0.7;2488;2617;0;99;7.4;0.04;0;2666500;1228499;666;228;47.2;8.32;666500;228500;"666500_228500"
6232;590;794;0.39;0.34;0;0.27;0;0.46;378;2915;0;0;6.8;0;0;2666500;1232499;666;232;47.24;8.32;666500;232500;"666500_232500"
6235;68101;437;0.56;0;0;0.18;0;0.28;2929;7643;0;0;1.7;0.01;0;2666500;1240499;666;240;47.31;8.32;666500;240500;"666500_240500"
6241;29531;614;0.33;0.21;0;0.24;0;-0.49;560;5830;0;79;10.3;0.01;0;2666500;1253499;666;253;47.43;8.32;666500;253500;"666500_253500"
6242;93411;456;0.03;0.21;0;0.12;0;-0.25;1524;12198;0;0;15.7;0.03;0;2666500;1259499;666;259;47.48;8.32;666500;259500;"666500_259500"
6245;4378;561;0.43;0.33;0;0.14;0;0;292;3394;0;0;6.8;0.02;0;2666500;1266499;666;266;47.55;8.32;666500;266500;"666500_266500"
6484;175;2630;0;0;0;0.44;0.03;0.1;293;0;0.53;1026;21.2;0;0;2667500;1146499;667;146;46.47;8.32;667500;146500;"667500_146500"
6213;2676;1258;0;0.72;0;0.12;0;-0.61;2769;1868;0.01;0;31;0.09;0;2667500;1175499;667;175;46.73;8.32;667500;175500;"667500_175500"
6233;6337;438;0.79;0.05;0;0.06;0;0.2;1291;2542;0;480;0.5;0.02;5110;2667500;1239499;667;239;47.3;8.33;667500;239500;"667500_239500"
6236;21011;366;0.11;0.53;0;0.11;0;0.02;3143;4177;0;973;2.3;0.05;0;2667500;1246499;667;246;47.37;8.33;667500;246500;"667500_246500"
6206;0;2280;0;0;0;0.74;0.03;0.27;2144;0;0.2;942;18.4;0.01;0;2668500;1156499;668;156;46.56;8.33;668500;156500;"668500_156500"
6220;732;1770;0;0.01;0;0.81;0;0.19;2622;0;0.04;0;22.6;0.09;12399;2668500;1192499;668;192;46.88;8.34;668500;192500;"668500_192500"
6226;49140;550;0.03;0.24;0;0.39;0;-0.66;1768;6948;0;0;13;0.07;0;2668500;1212499;668;212;47.06;8.34;668500;212500;"668500_212500"
6237;41136;564;0.48;0.13;0;0.24;0;-0.42;1218;6794;0;0;8.8;0;0;2668500;1248499;668;248;47.38;8.35;668500;248500;"668500_248500"
6207;7490;1384;0;0.05;0;0.72;0;-0.15;4316;4494;0;102;8;0.14;0;2669500;1153499;669;153;46.53;8.34;669500;153500;"669500_153500"
6486;144;2528;0;0;0.03;0.13;0;-0.15;0;0;0.84;0;36.3;0;0;2669500;1164499;669;164;46.63;8.35;669500;164500;"669500_164500"
6214;298;2074;0;0;0;0.57;0;0.43;1737;0;0.25;181;27.5;0.18;10569;2669500;1179499;669;179;46.76;8.35;669500;179500;"669500_179500"
6487;26331;646;0;0.36;0;0.42;0.01;0.04;1160;5788;0;306;23.2;0.08;0;2669500;1203499;669;203;46.98;8.35;669500;203500;"669500_203500"
6246;9449;559;0.41;0.34;0;0.12;0;-0.37;0;3342;0;0;8;0.05;0;2669500;1264499;669;264;47.53;8.36;669500;264500;"669500_264500"
