"site";"date";"survey";"time"
5230;2013-06-15;1852;175
6223;2013-05-09;1857;240
6223;2013-05-27;1858;250
6223;2013-06-06;1859;190
6429;2013-05-14;1860;275
6429;2013-06-04;1863;255
6429;2013-06-13;1864;240
6338;2013-05-01;1865;180
6338;2013-05-15;1868;210
6338;2013-06-06;1869;195
5303;2013-04-17;1878;220
5303;2013-05-11;1879;180
5303;2013-06-04;1880;220
5287;2013-04-21;1881;260
5287;2013-05-09;1882;220
5287;2013-06-07;1883;245
7294;2013-04-23;1884;240
7294;2013-05-17;1885;210
7294;2013-06-09;1886;230
5470;2013-05-03;1887;180
5470;2013-05-28;1888;210
5470;2013-06-08;1889;235
5366;2013-04-15;1893;142
5366;2013-05-05;1894;175
5370;2013-04-18;1896;175
5370;2013-05-11;1897;160
5370;2013-06-06;1898;155
7124;2013-04-27;1899;180
7124;2013-05-14;1900;180
7124;2013-05-28;1901;190
5366;2013-06-12;1908;141
5851;2013-06-11;1909;340
7197;2013-04-25;1937;240
7197;2013-06-03;1938;270
7197;2013-06-12;1939;300
6918;2013-04-27;1940;230
6918;2013-05-05;1941;240
7196;2013-05-22;1944;210
7196;2013-06-04;1945;285
7196;2013-06-13;1946;255
6720;2013-05-01;1950;260
6720;2013-06-04;1951;225
6720;2013-06-15;1952;225
6918;2013-06-08;1954;240
6953;2013-05-01;1955;185
6953;2013-05-15;1956;175
6953;2013-06-09;1957;185
5196;2013-04-28;1958;210
5196;2013-05-20;1959;200
5196;2013-06-16;1960;170
5435;2013-05-14;1961;180
5435;2013-06-02;1962;260
5435;2013-06-15;1965;240
5812;2013-04-30;1972;165
5812;2013-05-05;1973;180
5812;2013-06-16;1974;225
5190;2013-06-15;1976;245
5341;2013-05-23;1978;220
5476;2013-04-15;1981;165
5476;2013-05-11;1982;190
5476;2013-06-13;1983;185
6357;2013-05-13;1987;180
6357;2013-06-08;1988;180
6357;2013-06-16;1989;190
6754;2013-04-19;1990;315
5791;2013-04-15;2001;185
6754;2013-05-07;2004;320
6754;2013-05-31;2005;300
5948;2013-04-14;2009;155
5948;2013-05-05;2010;175
5948;2013-06-09;2011;140
6681;2013-06-06;2012;285
5848;2013-05-01;2013;210
5848;2013-06-02;2014;180
5848;2013-06-15;2015;200
6842;2013-04-14;2016;280
6842;2013-05-18;2017;240
6842;2013-06-16;2018;200
5791;2013-05-20;2019;195
5791;2013-06-12;2020;180
6731;2013-04-18;2023;240
6731;2013-05-09;2024;225
6401;2013-04-28;2028;230
6731;2013-06-08;2034;210
5628;2013-04-26;2037;180
5628;2013-05-11;2038;195
5628;2013-06-07;2039;180
6343;2013-04-30;2040;160
6401;2013-05-11;2048;235
6401;2013-06-08;2049;225
6343;2013-05-14;2050;180
6343;2013-06-08;2051;240
5313;2013-04-24;2053;200
5313;2013-05-08;2054;175
5313;2013-06-05;2067;175
6645;2013-05-03;2077;275
6645;2013-06-11;2078;300
6482;2013-05-15;2084;190
6482;2013-05-27;2085;220
6482;2013-06-17;2086;210
6816;2013-05-13;2087;240
6816;2013-06-07;2088;270
6816;2013-06-12;2089;240
6944;2013-05-12;2090;240
6944;2013-06-06;2093;240
6944;2013-06-13;2094;300
6817;2013-04-26;2095;240
6817;2013-05-09;2096;240
6817;2013-05-20;2097;240
6242;2013-06-15;2119;180
6283;2013-04-15;2122;180
6283;2013-05-06;2126;190
6283;2013-06-05;2127;185
6306;2013-05-07;2128;265
6306;2013-05-28;2129;280
6306;2013-06-12;2130;270
5868;2013-04-30;2131;165
5868;2013-05-28;2132;165
5868;2013-06-08;2133;175
6238;2013-04-14;2134;195
6238;2013-05-11;2135;190
