"x"	"y"	"buildings"	"elevation"	"farmland"	"forest"	"glacier"	"grassland"	"lakes"	"northness"	"rivers"	"roads"	"rocks"	"shoreline"	"slope"	"structures"	"wetlands"
716500	186500	45	2159	0	0	0.01	0.1	0	0.58	6216	0	0.86	0	43.2	0	0
717500	186500	0	2744	0	0	0.55	0	0	0	159	0	0.45	0	28.9	0	0
718500	186500	130	2499	0	0	0.22	0	0	-0.25	678	0	0.78	181	21.5	0	0
719500	186500	0	2208	0	0	0.11	0.05	0	0.22	4639	0	0.84	430	30.5	0	0
720500	186500	0	2446	0	0	0	0.05	0.01	0.25	367	0	0.94	133	36.2	0	0
721500	186500	47	2431	0	0	0	0.47	0	-0.24	1905	0	0.5	77	19	0	0
722500	186500	0	2474	0	0	0	0.52	0	-0.69	0	0	0.48	38	25.9	0	0
723500	186500	0	2289	0	0	0	0.69	0.01	0.01	627	0	0.29	31	28.1	0	0
724500	186500	712	2025	0	0	0	0.96	0	-0.32	3104	6	0.02	0	17.9	0.02	0
725500	186500	0	1898	0	0.08	0	0.7	0	-0.74	2440	0	0.07	0	29.8	0.14	0
726500	186500	615	1801	0	0.18	0	0.72	0	-0.59	2250	0	0	0	26.6	0.09	0
727500	186500	2151	1403	0	0.62	0	0.24	0	-0.26	4289	1737	0.02	0	29.1	0.08	0
728500	186500	271	1666	0	0.76	0	0.1	0	-0.26	2241	2069	0	0	29.2	0.13	0
729500	186500	327	2128	0	0.03	0	0.76	0	-0.44	1096	0	0.03	0	23.7	0.17	0
730500	186500	0	2119	0	0	0	0.8	0	-0.4	1674	0	0.01	0	16.6	0.19	31982
731500	186500	84	1818	0	0.39	0	0.34	0	-0.05	5309	0	0	0	24.5	0.26	246
732500	186500	2432	1784	0	0.47	0	0.39	0	-0.38	1517	1270	0	0	25.7	0.12	0
733500	186500	0	1903	0	0.11	0	0.74	0	-0.54	2405	0	0	0	19.8	0.12	18217
734500	186500	0	1634	0	0.61	0	0.18	0	-0.62	3846	0	0.08	0	28	0.07	0
735500	186500	2837	1568	0	0.64	0	0.3	0	-0.74	4417	1187	0	0	21.4	0.03	10050
736500	186500	5063	1568	0	0.13	0	0.77	0	-0.88	4289	1691	0	0	12.8	0.07	46724
737500	186500	5076	1459	0	0.17	0	0.74	0	-0.41	2746	534	0	0	15	0.06	13145
738500	186500	20984	1194	0	0.71	0	0.22	0	-0.33	1362	2152	0	0	21.1	0.01	0
739500	186500	32123	1093	0.01	0.66	0	0.09	0	-0.22	1631	6470	0	497	16.4	0	0
740500	186500	0	1185	0	0.99	0	0	0	-0.02	0	1743	0	0	18.8	0	0
741500	186500	0	1085	0	0.97	0	0	0	-0.08	0	2371	0	317	23.6	0	0
742500	186500	50	972	0	0.82	0	0.02	0	-0.26	2477	1358	0.12	0	21.7	0.03	0
743500	186500	1822	913	0	0.67	0	0.12	0	-0.16	1201	1356	0.16	121	21.7	0.03	0
744500	186500	1426	819	0	0.76	0	0.13	0	0	1688	0	0.05	0	16.9	0.03	0
745500	186500	1486	721	0.01	0.67	0	0.08	0	-0.11	2065	491	0.1	0	26.5	0.05	0
746500	186500	844	723	0.01	0.85	0	0	0	0.52	1066	1755	0.04	0	18.8	0.02	0
747500	186500	142	712	0	1	0	0	0	0.15	0	1001	0	0	9.8	0	0
748500	186500	24809	672	0.1	0.26	0	0.3	0	0.21	767	4823	0	97	5.1	0.13	0
749500	186500	95485	650	0.24	0.05	0	0.19	0	0.14	1280	11047	0	0	3.4	0.06	0
750500	186500	10546	616	0.16	0.5	0	0.04	0	0.03	2167	4274	0	929	10.4	0.05	0
751500	186500	107	697	0	0.87	0	0.12	0	0.17	2635	508	0	0	21.3	0	0
