"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"id";"ID";"ent1.1";"ent1.2";"ent2";"x";"y";"optional"
"94";5225;2246;556;0.62;0.18;0;0.11;0;-0.19;1823;6713;0;0;8.1;0.01;0;2542500;1179499;542;179;46.76;6.69;"542500_179500";94;2.05562510819681;61.6015388445087;106.722487481343;542500;179500;TRUE
"95";5229;0;461;0.24;0.33;0;0.01;0.13;0.6;2532;3249;0;826;6;0.02;236442;2542500;1182499;542;182;46.79;6.69;"542500_182500";95;2.93288690780996;71.7307085350315;3698.38304482833;542500;182500;TRUE
"96";5220;778;827;0;0.98;0;0.02;0;0.27;3194;1634;0;0;6.8;0;0;2543500;1162499;543;162;46.61;6.7;"543500_162500";96;1.99385165940453;26.5046259799001;135.849374568159;543500;162500;TRUE
"97";5226;120;530;0.52;0.3;0;0.12;0;-0.06;3951;392;0;118;7.6;0;0;2543500;1175499;543;175;46.73;6.7;"543500_175500";97;1.88872962859584;35.8104999968363;122.736503476108;543500;175500;TRUE
"98";5217;13759;819;0.58;0.15;0;0.03;0;0.04;2251;5898;0;0;4.7;0.02;0;2544500;1154499;544;154;46.54;6.72;"544500_154500";98;2.08726817528876;42.8918126450414;153.171695194433;544500;154500;TRUE
"99";5221;5920;740;0.39;0.47;0;0.09;0;0.13;2325;3876;0;79;10.2;0.02;0;2544500;1167499;544;167;46.66;6.71;"544500_167500";99;2.18797562818592;29.4409185272169;152.944722287663;544500;167500;TRUE
"100";5481;3633;938;0.02;0.58;0;0.31;0;-0.34;0;1861;0;0;18.5;0.04;0;2544500;1201499;544;201;46.96;6.71;"544500_201500";100;1.11188922771404;12.5543756728604;15.0153890301659;544500;201500;TRUE
"101";5214;49687;497;0;0;0;0.02;0;-0.83;3582;11652;0;0;14.9;0.01;0;2545500;1149499;545;149;46.49;6.73;"545500_149500";101;3.10850371604758;70.0593535065224;1230.85678151022;545500;149500;TRUE
"102";5227;19633;709;0.34;0.23;0;0.34;0;0.26;2318;2804;0;0;9.7;0.02;0;2545500;1170499;545;170;46.68;6.73;"545500_170500";102;2.36723721463482;32.5027604374862;143.567364087971;545500;170500;TRUE
"103";5222;19759;797;0.51;0.04;0;0.32;0;0.15;2070;5713;0;0;6.3;0.05;0;2546500;1161499;546;161;46.6;6.74;"546500_161500";103;1.90855719797212;22.392316569985;51.7565502592585;546500;161500;TRUE
"104";5232;5322;916;0.12;0.49;0;0.35;0;-0.66;0;3647;0;0;17.5;0.02;0;2546500;1195499;546;195;46.91;6.74;"546500_195500";104;1.63495529334942;32.4663799121188;85.0213628980192;546500;195500;TRUE
"105";5235;2305;995;0.07;0.01;0;0.71;0;-0.06;2616;1247;0;0;1.5;0.02;47922;2546500;1204499;546;204;46.99;6.74;"546500_204500";105;0.934046136979286;10.2828161635213;21.3468097009935;546500;204500;TRUE
"106";5215;11903;460;0.02;0.03;0;0.05;0.4;-0.42;962;6313;0;1083;16;0.03;0;2547500;1148499;547;148;46.49;6.75;"547500_148500";106;3.10306371735037;66.0647508721529;1756.92743134156;547500;148500;TRUE
"107";5218;38646;822;0.28;0.09;0;0.37;0;0.2;678;6204;0;0;4.9;0.01;0;2547500;1158499;547;158;46.58;6.75;"547500_158500";107;1.77571506475809;21.0225769729531;58.3627643995072;547500;158500;TRUE
"108";5230;503;594;0.61;0.37;0;0.02;0;0.36;1583;2953;0;0;12.1;0;0;2547500;1180499;547;180;46.77;6.75;"547500_180500";108;2.281570176256;53.5545239457809;202.406476364169;547500;180500;TRUE
"109";5236;1024;1268;0;0.3;0;0.64;0;0.24;0;1212;0;0;11.8;0.05;0;2547500;1208499;547;208;47.03;6.75;"547500_208500";109;0.575561511822003;17.2526406424978;6.61485003539243;547500;208500;TRUE
"110";5479;62590;633;0.22;0.16;0;0.17;0;-0.27;1760;8523;0;0;10.2;0.05;0;2548500;1149499;548;149;46.49;6.77;"548500_149500";110;2.61809716261557;64.7784005565973;267.815707217346;548500;149500;TRUE
"111";5228;1482;797;0.4;0.57;0;0.01;0;-0.18;0;0;0;153;3.7;0;24248;2548500;1174499;548;174;46.72;6.77;"548500_174500";111;2.52976929489288;35.6599262637642;144.941095286795;548500;174500;TRUE
